pid,date,dekad,B02,B03,B04,B05,B08,B11,n_clean_scl
207,2022-01-12,0,294.44444444444446,463.3333333333333,323.3333333333333,1008.4444444444445,2202.8888888888887,1508.6666666666667,9
384,2022-01-12,0,333.22222222222223,643.7777777777778,428.77777777777777,1205.5555555555557,3083.3333333333335,1764.2222222222222,9
395,2022-01-12,0,374.77777777777777,644.6666666666666,481.1111111111111,1159.5714285714287,2277.5555555555557,1356.5714285714287,7
398,2022-01-12,0,389.8888888888889,745.7777777777778,303.77777777777777,1097.2222222222222,3538.8888888888887,1487.111111111111,9
417,2022-01-12,0,432.25,682.5,645.5,1226.0,2171.5,1695.5,2
418,2022-01-12,0,397.14285714285717,715.5714285714286,485.85714285714283,1295.75,3396.8571428571427,1688.5,8
421,2022-01-12,0,531.25,832.25,715.25,1280.5,3091.5,1535.5,2
423,2022-01-12,0,427.625,616.625,560.5,1048.4285714285713,2225.75,1729.857142857143,7
436,2022-01-12,0,439.14285714285717,899.7142857142857,596.7142857142857,1580.5714285714287,3504.5714285714284,1555.0,7
444,2022-01-12,0,265.6666666666667,598.3333333333334,211.66666666666666,1112.888888888889,4687.555555555556,1514.4444444444443,9
446,2022-01-12,0,549.8888888888889,736.7777777777778,1082.888888888889,1367.888888888889,1668.888888888889,1725.5555555555557,9
448,2022-01-12,0,354.5,587.0,508.0,958.75,1974.0,1419.25,4
450,2022-01-12,0,209.88888888888889,506.55555555555554,174.22222222222223,934.1111111111111,4449.777777777777,1477.6666666666667,9
451,2022-01-12,0,336.3333333333333,569.1111111111111,409.44444444444446,1180.6,2364.5555555555557,1243.4,5
454,2022-01-12,0,469.0,752.3333333333334,584.8333333333334,1333.6,3459.0,1210.0,5
457,2022-01-12,0,206.0,345.55555555555554,310.1111111111111,733.0,1579.7777777777778,1246.0,9
461,2022-01-12,0,392.8888888888889,786.8888888888889,437.1111111111111,1451.6666666666667,3636.4444444444443,1383.888888888889,9
462,2022-01-12,0,400.44444444444446,780.2222222222222,434.44444444444446,1202.4444444444443,3006.222222222222,1446.7777777777778,9
463,2022-01-12,0,342.55555555555554,757.6666666666666,263.3333333333333,1311.4444444444443,5506.222222222223,1717.111111111111,9
466,2022-01-12,0,365.3333333333333,698.7777777777778,458.3333333333333,1196.4444444444443,2842.6666666666665,1360.0,9
468,2022-01-12,0,376.6666666666667,819.1111111111111,372.6666666666667,1467.0,4368.444444444444,1642.2222222222222,9
469,2022-01-12,0,272.14285714285717,423.42857142857144,439.14285714285717,979.5,1679.857142857143,1420.6666666666667,6
472,2022-01-12,0,445.25,786.75,668.75,1450.0,2685.5,1347.75,4
605,2022-01-12,0,431.6666666666667,933.0,602.6666666666666,1590.3333333333333,3596.0,1664.5,6
633,2022-01-12,0,301.0,705.5555555555555,253.22222222222223,1116.4444444444443,5015.111111111111,1698.111111111111,9
730,2022-01-12,0,176.11111111111111,412.8888888888889,106.33333333333333,744.3333333333334,4512.444444444444,1347.4444444444443,9
772,2022-01-12,0,259.0,397.8888888888889,470.77777777777777,823.1111111111111,2185.5555555555557,1279.2222222222222,9
802,2022-01-12,0,681.6666666666666,852.5555555555555,1255.5555555555557,1532.0,1883.7777777777778,2621.3333333333335,9
830,2022-01-12,0,268.6666666666667,603.0,261.44444444444446,1120.3333333333333,4225.555555555556,1640.2222222222222,9
894,2022-01-12,0,368.22222222222223,767.2222222222222,296.8888888888889,1158.7777777777778,3492.8888888888887,1242.7777777777778,9
1189,2022-01-12,0,234.55555555555554,528.0,238.55555555555554,962.6666666666666,3011.3333333333335,1116.7777777777778,9
1396,2022-01-12,0,601.5,733.5,1085.0,1229.5,1425.0,2148.5,2
1397,2022-01-12,0,425.6,707.6,566.8,1327.1666666666667,2834.8,1634.6666666666667,6
1399,2022-01-12,0,359.3333333333333,678.7777777777778,377.77777777777777,1237.375,4129.111111111111,1761.125,8
1400,2022-01-12,0,379.0,784.4444444444445,241.33333333333334,1253.2857142857142,4581.333333333333,1389.4285714285713,7
1401,2022-01-12,0,398.3333333333333,671.7777777777778,426.55555555555554,1087.6666666666667,3231.3333333333335,1469.7777777777778,9
1408,2022-01-12,0,509.0,634.5,980.0,1165.5,1555.0,2258.5,2
1411,2022-01-12,0,444.1666666666667,718.6666666666666,536.8333333333334,1329.0,3173.3333333333335,1945.75,4
1431,2022-01-12,0,483.0,734.0,686.0,1283.6,3056.0,2091.8,5
1432,2022-01-12,0,402.0,638.5,582.0,1337.25,2962.0,2004.75,4
1433,2022-01-12,0,303.22222222222223,645.8888888888889,324.44444444444446,1128.111111111111,3448.0,1712.888888888889,9
1436,2022-01-12,0,416.3333333333333,834.5555555555555,368.8888888888889,1448.4444444444443,4771.555555555556,1748.3333333333333,9
1439,2022-01-12,0,388.3333333333333,591.8888888888889,534.8888888888889,1074.5,2403.1111111111113,1601.5,6
1441,2022-01-12,0,426.5,749.0,520.5,1309.0,3718.0,1792.5,2
1442,2022-01-12,0,246.44444444444446,418.22222222222223,294.1111111111111,925.875,1946.4444444444443,1254.75,8
1444,2022-01-12,0,358.6666666666667,659.7777777777778,610.1111111111111,1238.625,2424.222222222222,1720.375,8
1449,2022-01-12,0,436.7142857142857,770.2857142857143,468.0,1072.0,2483.4285714285716,1171.0,3
1450,2022-01-12,0,390.0,747.6666666666666,597.0,1405.0,2477.3333333333335,1670.5,6
