pid,date,dekad,B04,B08,B05,B11
683,2024-01-10,0,856.0,1423.7777777777778,1007.3333333333334,1695.6666666666667
798,2024-01-10,0,584.5555555555555,1577.111111111111,935.4444444444445,1125.0
812,2024-01-10,0,874.2222222222222,1651.111111111111,1113.888888888889,1542.888888888889
927,2024-01-10,0,533.4444444444445,1983.5555555555557,816.1111111111111,1159.888888888889
1232,2024-01-10,0,1092.2222222222222,2189.5555555555557,1501.0,1978.2222222222222
1725,2024-01-10,0,885.4444444444445,2605.777777777778,1157.2222222222222,1421.7777777777778
1727,2024-01-10,0,1310.2222222222222,2350.6666666666665,1622.6666666666667,2058.0
1728,2024-01-10,0,878.8888888888889,2729.5555555555557,1403.111111111111,1817.0
2244,2024-01-10,0,635.4444444444445,1740.2222222222222,1011.2222222222222,1728.888888888889
2245,2024-01-10,0,288.3333333333333,4346.222222222223,1061.5555555555557,1373.111111111111
2687,2024-01-10,0,539.3333333333334,2909.3333333333335,1271.4444444444443,1643.4444444444443
2688,2024-01-10,0,637.2222222222222,2566.0,1260.888888888889,1832.5555555555557
2689,2024-01-10,0,420.0,3869.777777777778,1164.0,1804.6666666666667
2835,2024-01-10,0,1030.5555555555557,1610.0,1273.2222222222222,1461.5555555555557
2847,2024-01-10,0,687.3333333333334,3872.0,1451.4444444444443,1952.6666666666667
2921,2024-01-10,0,443.0,2273.5555555555557,993.5555555555555,1248.111111111111
3200,2024-01-10,0,703.4444444444445,1386.6666666666667,923.4444444444445,1658.4444444444443
3626,2024-01-10,0,385.44444444444446,4260.888888888889,1399.888888888889,1431.888888888889
3628,2024-01-10,0,1093.7777777777778,2204.8888888888887,1515.0,2304.5555555555557
3629,2024-01-10,0,1093.7777777777778,2204.8888888888887,1515.0,2304.5555555555557
3631,2024-01-10,0,609.1111111111111,2396.0,1245.6666666666667,1309.7777777777778
4118,2024-01-10,0,471.44444444444446,881.8888888888889,588.4444444444445,846.7777777777778
4119,2024-01-10,0,560.0,2748.6666666666665,1179.4444444444443,1512.7777777777778
4211,2024-01-10,0,580.7777777777778,3404.0,1354.4444444444443,1474.4444444444443
4584,2024-01-10,0,1773.3333333333333,3044.0,2066.5555555555557,2418.777777777778
4731,2024-01-10,0,1223.5555555555557,2921.5555555555557,1764.5555555555557,2306.3333333333335
5144,2024-01-10,0,814.8888888888889,2508.0,1301.888888888889,1734.6666666666667
5548,2024-01-10,0,836.8888888888889,2838.4444444444443,1417.111111111111,1524.3333333333333
5674,2024-01-10,0,699.3333333333334,1181.7777777777778,877.5555555555555,1298.4444444444443
5980,2024-01-10,0,669.1111111111111,2321.3333333333335,1098.111111111111,1433.0
5981,2024-01-10,0,1297.5555555555557,2984.0,1853.7777777777778,1848.0
6476,2024-01-10,0,643.1111111111111,2432.4444444444443,1106.888888888889,1362.4444444444443
6477,2024-01-10,0,336.3333333333333,4637.777777777777,1027.888888888889,1318.888888888889
6478,2024-01-10,0,929.3333333333334,2709.5555555555557,1606.111111111111,1820.0
7474,2024-01-10,0,598.5555555555555,2706.8888888888887,1198.5555555555557,1764.888888888889
7558,2024-01-10,0,891.1111111111111,1782.2222222222222,1217.4444444444443,1713.0
7614,2024-01-10,0,556.0,3904.8888888888887,1294.2222222222222,1965.6666666666667
7734,2024-01-10,0,467.1111111111111,3165.1111111111113,1344.888888888889,1551.5555555555557
8026,2024-01-10,0,826.2222222222222,1832.4444444444443,1174.6666666666667,1563.7777777777778
8527,2024-01-10,0,684.5555555555555,4844.444444444444,1723.3333333333333,1957.3333333333333
8528,2024-01-10,0,887.1111111111111,2845.1111111111113,1531.6666666666667,2071.1111111111113
8529,2024-01-10,0,722.3333333333334,1908.6666666666667,1098.5555555555557,1523.5555555555557
8710,2024-01-10,0,456.3333333333333,3574.222222222222,1281.2222222222222,1759.3333333333333
9690,2024-01-10,0,432.44444444444446,4000.0,1278.3333333333333,1732.5555555555557
9942,2024-01-10,0,409.77777777777777,5528.0,1479.2222222222222,1114.4444444444443
10391,2024-01-10,0,870.7777777777778,1585.5555555555557,1097.111111111111,1513.888888888889
10392,2024-01-10,0,429.44444444444446,4989.777777777777,1474.5555555555557,1456.7777777777778
10393,2024-01-10,0,681.2222222222222,2818.6666666666665,1386.4444444444443,1795.2222222222222
10394,2024-01-10,0,633.4444444444445,1874.4444444444443,1058.3333333333333,1345.5555555555557
10503,2024-01-10,0,513.0,2620.6666666666665,1168.6666666666667,1598.6666666666667
10536,2024-01-10,0,994.8888888888889,1602.2222222222222,1141.7777777777778,1502.111111111111
10887,2024-01-10,0,147.44444444444446,399.77777777777777,511.0,536.3333333333334
11347,2024-01-10,0,1383.3333333333333,2178.4444444444443,1785.3333333333333,1801.6666666666667
11348,2024-01-10,0,888.2222222222222,2607.1111111111113,1379.3333333333333,2107.1111111111113
11349,2024-01-10,0,872.0,2919.777777777778,1450.4444444444443,2040.3333333333333
11489,2024-01-10,0,491.44444444444446,2397.3333333333335,1122.5555555555557,1405.0
11522,2024-01-10,0,591.6666666666666,1940.888888888889,1091.6666666666667,1415.2222222222222
11559,2024-01-10,0,1009.2222222222222,1985.3333333333333,1397.5555555555557,1622.0
11584,2024-01-10,0,690.0,2918.222222222222,1186.4444444444443,1770.7777777777778
11847,2024-01-10,0,706.3333333333334,4440.888888888889,1638.2222222222222,1234.4444444444443
11848,2024-01-10,0,450.8888888888889,3523.1111111111113,1320.7777777777778,1454.3333333333333
12323,2024-01-10,0,1113.888888888889,2307.3333333333335,1449.6666666666667,2218.6666666666665
12836,2024-01-10,0,730.2222222222222,1341.3333333333333,866.1111111111111,1468.0
13391,2024-01-10,0,667.7777777777778,1570.888888888889,926.1111111111111,1322.888888888889
13519,2024-01-10,0,558.3333333333334,3222.0,1262.0,1845.4444444444443
13794,2024-01-10,0,668.6666666666666,3947.5555555555557,1560.6666666666667,1459.2222222222222
13795,2024-01-10,0,482.77777777777777,2724.8888888888887,1125.5555555555557,1337.6666666666667
14250,2024-01-10,0,619.1111111111111,2982.0,1275.6666666666667,1902.0
14253,2024-01-10,0,1010.2222222222222,2123.1111111111113,1381.5555555555557,2056.4444444444443
14270,2024-01-10,0,345.0,3043.777777777778,1096.2222222222222,1277.888888888889
14429,2024-01-10,0,533.2222222222222,3790.6666666666665,1510.6666666666667,1625.111111111111
15235,2024-01-10,0,788.1111111111111,1770.6666666666667,1148.6666666666667,2243.5555555555557
15318,2024-01-10,0,818.0,2725.1111111111113,1388.3333333333333,1843.3333333333333
16082,2024-01-10,0,450.22222222222223,3513.3333333333335,1255.2222222222222,1460.111111111111
16172,2024-01-10,0,1044.0,1543.7777777777778,1241.111111111111,1270.3333333333333
16173,2024-01-10,0,622.2222222222222,2270.4444444444443,1110.6666666666667,1191.888888888889
16353,2024-01-10,0,703.4444444444445,2328.6666666666665,1158.888888888889,1824.5555555555557
16608,2024-01-10,0,406.1111111111111,4679.111111111111,1199.4444444444443,1659.7777777777778
16610,2024-01-10,0,286.44444444444446,5064.444444444444,1094.3333333333333,1523.6666666666667
17086,2024-01-10,0,777.6666666666666,1777.5555555555557,1075.7777777777778,1622.4444444444443
17087,2024-01-10,0,970.7777777777778,1569.7777777777778,1198.6666666666667,1947.0
17088,2024-01-10,0,530.1111111111111,2715.3333333333335,1082.3333333333333,1458.7777777777778
18646,2024-01-10,0,583.4444444444445,1208.4444444444443,682.5555555555555,940.2222222222222
19101,2024-01-10,0,407.1111111111111,2649.5555555555557,0,0
19102,2024-01-10,0,665.8888888888889,3158.4444444444443,1318.888888888889,1728.5555555555557
19103,2024-01-10,0,1240.2222222222222,2173.5555555555557,1445.0,2201.0
