pid,date,dekad,B04,B08,B05,B11
285,2025-01-02,0,598.4444444444445,3154.8888888888887,1389.6666666666667,1633.5555555555557
286,2025-01-02,0,691.3333333333334,2243.5555555555557,1222.3333333333333,1373.7777777777778
287,2025-01-02,0,405.1111111111111,4172.444444444444,1253.5555555555557,1375.3333333333333
288,2025-01-02,0,247.66666666666666,3946.6666666666665,1058.2222222222222,1364.3333333333333
289,2025-01-02,0,1058.5555555555557,2348.6666666666665,1458.3333333333333,1760.2222222222222
290,2025-01-02,0,538.4444444444445,3809.777777777778,1411.6666666666667,1292.111111111111
291,2025-01-02,0,420.3333333333333,2117.5555555555557,935.0,1275.6666666666667
292,2025-01-02,0,884.3333333333334,1696.4444444444443,1125.888888888889,1536.6666666666667
303,2025-01-02,0,706.1111111111111,1800.0,1080.4444444444443,1521.2222222222222
304,2025-01-02,0,654.3333333333334,1264.6666666666667,890.2222222222222,1505.7777777777778
310,2025-01-02,0,508.44444444444446,3002.222222222222,1278.111111111111,1529.111111111111
311,2025-01-02,0,658.4444444444445,2242.222222222222,1112.7777777777778,1545.4444444444443
327,2025-01-02,0,900.5555555555555,1552.6666666666667,1159.0,1659.7777777777778
328,2025-01-02,0,654.6666666666666,2196.4444444444443,1134.3333333333333,1420.888888888889
331,2025-01-02,0,749.5555555555555,1646.2222222222222,1009.2222222222222,1686.888888888889
332,2025-01-02,0,558.0,1835.7777777777778,927.2222222222222,1702.111111111111
335,2025-01-02,0,804.4444444444445,1242.0,1106.0,1492.7777777777778
336,2025-01-02,0,959.2222222222222,2202.6666666666665,1326.4444444444443,1609.5555555555557
337,2025-01-02,0,458.3333333333333,2910.0,1110.3333333333333,1353.3333333333333
338,2025-01-02,0,417.55555555555554,4244.444444444444,1264.6666666666667,1713.5555555555557
339,2025-01-02,0,1105.5555555555557,1697.3333333333333,1303.888888888889,1582.0
353,2025-01-02,0,463.6666666666667,3463.3333333333335,1078.111111111111,1667.0
356,2025-01-02,0,708.5555555555555,1801.3333333333333,1035.4444444444443,1629.111111111111
357,2025-01-02,0,450.0,2154.4444444444443,895.2222222222222,962.7777777777778
358,2025-01-02,0,147.66666666666666,2525.777777777778,688.2222222222222,919.6666666666666
359,2025-01-02,0,880.0,1636.888888888889,1148.5555555555557,1429.111111111111
360,2025-01-02,0,613.6666666666666,2333.777777777778,1146.2222222222222,1468.888888888889
361,2025-01-02,0,656.6666666666666,1475.7777777777778,944.3333333333334,1347.4444444444443
363,2025-01-02,0,602.7777777777778,1490.2222222222222,927.3333333333334,1564.6666666666667
364,2025-01-02,0,643.1111111111111,2443.1111111111113,1306.0,1657.5555555555557
365,2025-01-02,0,354.55555555555554,2246.8888888888887,873.8888888888889,1212.6666666666667
366,2025-01-02,0,519.5555555555555,1876.2222222222222,1029.888888888889,1343.2222222222222
367,2025-01-02,0,515.8888888888889,1901.7777777777778,934.7777777777778,1205.111111111111
