pid,z_seed1,z_seed2,z_seed3,z_seed4,z_seed5,z_seed42,z_seed100,times_flagged,mean_z,crop,lat,lng
1618,14.766393641510222,11.021308931250593,9.312777240337539,16.41185106686133,11.842934843503668,10.807841713839956,25.633989271821925,7,14.256728101303606,Winter Barley,52.53832698121375,-6.571779640683127
2545,7.341281393106285,11.730487186192656,6.489102444741772,15.510682672635088,9.900645462636607,5.970404325026841,11.76730324242949,7,9.815700960966963,Spring Barley,52.6766062482247,-6.584312915604134
4580,7.671866908134758,15.807572532866251,7.466204861184509,13.289934313964292,6.771051035793332,8.73852467814226,8.590828064160267,7,9.762283199177954,Winter Wheat,52.91602513068695,-6.968266523233338
1519,8.70693712235129,10.614130683088556,8.295772675204338,7.608692401011468,9.747061517215396,13.398845480667593,9.776314048788397,7,9.735393418332434,Spring Barley,52.50724062227941,-6.682580011345217
1151,3.950202302647627,15.441559296135994,5.329379117828025,7.197500294100357,11.254238876673652,5.352054711382656,14.0541881493554,7,8.939874678303386,Spring Barley,52.490111183024894,-6.4862763534256525
2986,2.5929179244403047,4.62851777091858,2.4088075188401774,4.252141479644116,2.5138598706018658,6.8715205741643,38.01870330965206,6,8.755209778323058,Spring Barley,52.7665741298984,-6.935715909356137
4142,8.645366077576197,6.5811134471853885,16.06272405683633,10.061022526860665,5.65422322064883,6.053900938331683,7.230200917523944,7,8.612650169280434,Winter Wheat,52.81346839990323,-6.696522398741618
4289,6.300001905622586,9.623130615794809,7.036827483923054,10.934877671739194,6.029658655373567,8.843970145562741,11.044726930464309,7,8.54474191549718,Spring Barley,52.85792583064045,-6.268583486210321
4766,13.568785092873417,4.943621714549927,9.181659124711482,5.090965668227815,8.37191000744156,13.058526738515527,4.69468372816202,7,8.415736010640249,Winter Wheat,52.93386783345444,-6.727481414821416
4519,3.5992198270218156,2.9123078937620424,2.370183943438541,2.8819470871221444,3.416491192738382,34.679403447990275,5.9773086388107615,6,7.9766945758405665,Winter Barley,53.00165776328866,-6.899766478656689
