date,HH_dB,HV_dB,HV_HH_ratio
2025-11-23,-7.103753566741943,-13.589052200317383,0.22463129460811615
2025-12-05,-4.073472499847412,-12.440957069396973,0.14563022553920746
2025-12-17,-6.369564056396484,-13.362932205200195,0.19983111321926117
2025-12-29,-5.582027912139893,-11.9745454788208,0.2294817715883255
2026-01-10,-5.182697772979736,-11.927627563476562,0.2115957885980606
2026-06-27,-6.288176536560059,-10.119914054870605,0.4138341248035431
2026-07-09,,,
2026-07-21,-8.894275665283203,-15.681829452514648,0.20952925086021423
