date,HH_dB,HV_dB,HV_HH_ratio
2025-11-18,-7.2904854,-15.11435,0.16504923
2025-11-30,-6.1829715,-15.939575,0.105764434
2025-12-24,-7.7127666,-15.844822,0.15374272
2026-01-05,-9.526755,-15.179814,0.27207845
2026-06-22,-7.5099754,-14.758515,0.18842825
2026-07-04,-6.0188236,-14.151247,0.15372966
